Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
2024/06/14,16:24:12,"""CNR9070334""",Completed,"""CID6680340""",Auto,Udyog Bhawan,Dwarka Sector 21,7.7,18.9,null,null,null,null,null,null,181,19.84,4.2,4.9,Cash
2024/09/18,8:09:38,"""CNR9551927""",No Driver Found,"""CID7568143""",Auto,Vidhan Sabha,AIIMS,null,null,null,null,null,null,null,null,null,null,null,null,null
2024/06/25,22:44:15,"""CNR4386945""",Cancelled by Driver,"""CID5543520""",eBike,Patel Chowk,Kherki Daula Toll,4.6,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null,null
2024/09/11,19:29:39,"""CNR2987763""",Completed,"""CID2669710""",Go Mini,Malviya Nagar,Ghitorni Village,12.2,28.2,null,null,null,null,null,null,394,21.44,4.1,4.7,UPI
2024/10/18,18:28:53,"""CNR8962232""",Completed,"""CID1789354""",Go Mini,Madipur,GTB Nagar,14,30.9,null,null,null,null,null,null,836,39.55,4.7,4.4,UPI
2024/06/07,15:05:35,"""CNR2390352""",Completed,"""CID5432215""",Auto,Jama Masjid,Khan Market,8.5,36.9,null,null,null,null,null,null,410,34.76,4,4.9,Uber Wallet
2024/07/01,10:51:16,"""CNR3221338""",Completed,"""CID2581698""",Premier Sedan,IGI Airport,Madipur,5.6,27.5,null,null,null,null,null,null,401,21.97,4.9,4.3,UPI
2024/12/15,15:08:25,"""CNR6739317""",Cancelled by Driver,"""CID8682675""",Go Sedan,Vinobapuri,GTB Nagar,6,null,null,null,1,Customer related issue,null,null,null,null,null,null,null
2024/11/24,9:07:10,"""CNR6126048""",Cancelled by Customer,"""CID1060329""",eBike,Kashmere Gate,Anand Vihar,12.4,null,1,Driver is not moving towards pickup location,null,null,null,null,null,null,null,null,null
2024/05/24,19:53:57,"""CNR9465840""",Cancelled by Driver,"""CID9046501""",eBike,Pitampura,Rajiv Nagar,10.3,null,null,null,1,Customer related issue,null,null,null,null,null,null,null
2024/12/14,21:27:04,"""CNR9843229""",Completed,"""CID4929303""",Go Sedan,Punjabi Bagh,Mansarovar Park,6.1,33.7,null,null,null,null,null,null,264,13.64,3.8,4.7,Uber Wallet
2024/07/29,6:28:22,"""CNR7911434""",Completed,"""CID8465004""",Auto,Greater Noida,Botanical Garden,7,21.3,null,null,null,null,null,null,183,4.5,5,4.2,UPI
2024/02/23,11:02:45,"""CNR6178330""",Completed,"""CID7719678""",Go Mini,Tis Hazari,IMT Manesar,10.4,25.1,null,null,null,null,null,null,713,38.03,3.7,3.6,UPI
2024/03/09,20:14:24,"""CNR5309981""",Completed,"""CID3870048""",Go Mini,Noida Sector 18,Old Gurgaon,7.9,41.1,null,null,null,null,null,null,113,14.53,4.6,4.9,UPI
2024/08/28,16:30:14,"""CNR2978950""",Completed,"""CID2977484""",Auto,Kanhaiya Nagar,Anand Vihar,13.6,25.2,null,null,null,null,null,null,767,7.39,3.8,4.6,Debit Card
2024/08/08,6:34:38,"""CNR2806943""",Completed,"""CID7550481""",Uber XL,Okhla,Barakhamba Road,5.1,20.7,null,null,null,null,null,null,495,10.23,3.8,4.2,Credit Card
2024/01/26,9:44:00,"""CNR3614535""",Cancelled by Driver,"""CID2507102""",Auto,Cyber Hub,Saket,11.5,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null,null
2024/04/12,19:42:35,"""CNR4499383""",No Driver Found,"""CID5717521""",Premier Sedan,Sadar Bazar Gurgaon,Mehrauli,null,null,null,null,null,null,null,null,null,null,null,null,null
2024/04/05,18:57:12,"""CNR9834201""",Incomplete,"""CID7891331""",Bike,Shastri Park,Botanical Garden,3.1,28.2,null,null,null,null,1,Vehicle Breakdown,304,1.98,null,null,UPI
2024/11/03,12:24:59,"""CNR8779845""",Completed,"""CID7444351""",Auto,Faridabad Sector 15,Malviya Nagar,8.9,31.1,null,null,null,null,null,null,2847,39.21,3.1,4.6,Debit Card
2024/05/18,17:37:52,"""CNR2178654""",Cancelled by Driver,"""CID3631860""",Go Mini,Qutub Minar,Vishwavidyalaya,9.2,null,null,null,1,More than permitted people in there,null,null,null,null,null,null,null
2024/11/15,5:53:55,"""CNR3871541""",Completed,"""CID9849259""",Go Mini,Mundka,Preet Vihar,8.9,41,null,null,null,null,null,null,282,8.36,3.8,4.4,UPI
2024/02/04,18:08:04,"""CNR2877692""",Completed,"""CID5901711""",Premier Sedan,DLF City Court,Nehru Place,11.5,20.5,null,null,null,null,null,null,656,6.39,5,4.9,Uber Wallet
2024/05/29,14:05:10,"""CNR9603633""",Completed,"""CID5856503""",Auto,Tis Hazari,Shahdara,2,19.4,null,null,null,null,null,null,134,46.66,3.8,4.4,Credit Card
2024/07/13,19:53:15,"""CNR8087051""",Cancelled by Driver,"""CID9716528""",Go Sedan,New Colony,Ghitorni Village,5.4,null,null,null,1,Customer related issue,null,null,null,null,null,null,null
2024/06/07,19:21:10,"""CNR7823292""",Completed,"""CID9377721""",Go Sedan,Nirman Vihar,Malviya Nagar,14.6,25.4,null,null,null,null,null,null,470,27.07,3.7,4.2,Cash
2024/05/16,13:04:31,"""CNR9918895""",Completed,"""CID9520433""",Auto,New Delhi Railway Station,Noida Film City,6.7,20.5,null,null,null,null,null,null,187,12.16,4.9,4.3,UPI
2024/10/02,3:10:35,"""CNR7401001""",Completed,"""CID9958715""",Premier Sedan,Civil Lines Gurgaon,Mandi House,6.6,30,null,null,null,null,null,null,186,10.28,4.4,4.6,UPI
2024/02/26,15:43:16,"""CNR2631310""",Completed,"""CID4355670""",eBike,Seelampur,Janakpuri,10,35.8,null,null,null,null,null,null,70,44.42,4.1,4.4,UPI
2024/09/10,13:02:42,"""CNR4218487""",Cancelled by Customer,"""CID3037053""",Bike,Noida Extension,Udyog Vihar Phase 4,11,null,1,Driver is not moving towards pickup location,null,null,null,null,null,null,null,null,null
2024/09/12,9:14:57,"""CNR5333099""",Cancelled by Driver,"""CID5112050""",Auto,Adarsh Nagar,Civil Lines Gurgaon,8,null,null,null,1,Personal & Car related issues,null,null,null,null,null,null,null
2024/01/24,10:47:57,"""CNR5969954""",Completed,"""CID5558118""",Auto,Vinobapuri,Karkarduma,12.8,18.7,null,null,null,null,null,null,273,34.64,4.5,4.6,Uber Wallet
2024/02/12,19:42:39,"""CNR4130953""",Incomplete,"""CID3196782""",Premier Sedan,Panipat,Tagore Garden,6.4,10.5,null,null,null,null,1,Other Issue,966,18.3,null,null,Debit Card
2024/10/02,19:17:00,"""CNR6693125""",Cancelled by Driver,"""CID7364449""",Auto,Karol Bagh,Tagore Garden,5.4,null,null,null,1,More than permitted people in there,null,null,null,null,null,null,null
2024/04/01,21:14:19,"""CNR9572979""",Completed,"""CID3474992""",Go Sedan,Sultanpur,Noida Extension,12.2,42.3,null,null,null,null,null,null,251,20.91,4.2,3.6,Debit Card
2024/09/18,21:06:36,"""CNR6444364""",Cancelled by Driver,"""CID8262635""",Go Mini,Moti Nagar,Anand Vihar ISBT,6.6,null,null,null,1,More than permitted people in there,null,null,null,null,null,null,null
2024/08/02,7:17:07,"""CNR4862806""",Cancelled by Customer,"""CID7875150""",Auto,Shastri Park,Anand Vihar ISBT,11.3,null,1,Driver asked to cancel,null,null,null,null,null,null,null,null,null
2024/09/30,13:10:50,"""CNR4674790""",Incomplete,"""CID4795905""",Bike,Dilshad Garden,Nehru Place,2.3,29.7,null,null,null,null,1,Vehicle Breakdown,453,19.24,null,null,Debit Card
2024/06/16,0:44:47,"""CNR6866217""",Completed,"""CID7798304""",Go Sedan,Dilshad Garden,Nehru Place,7.8,42.2,null,null,null,null,null,null,246,8.13,4.2,4.5,UPI
